latitude,longitude,grid_row,grid_col,plant_records,effort_intensity,weight
44.05416666666667,0.6791666666666663,893,741,2.9044411182403564,2.9044411182403564,3.3544411182403566
46.6375,-0.22083333333333321,583,633,10.77925968170166,10.77925968170166,11.22925968170166
43.84583333333333,-1.2791666666666668,918,506,1001.0578002929688,1001.0578002929688,1001.5078002929688
48.395833333333336,5.079166666666666,372,1269,268.3022155761719,268.3022155761719,268.75221557617186
50.44583333333333,2.1875,126,922,876.499267578125,876.499267578125,876.949267578125
47.34583333333333,1.4208333333333334,498,830,5.342189311981201,5.342189311981201,5.792189311981201
49.079166666666666,-0.09583333333333321,290,648,82.87470245361328,82.87470245361328,83.32470245361328
49.62083333333333,1.4458333333333329,225,833,70.0,70.0,70.45
45.1125,3.229166666666666,766,1047,80.9674072265625,80.9674072265625,81.4174072265625
47.229166666666664,6.029166666666667,512,1383,282.57086181640625,282.57086181640625,283.02086181640624
47.90416666666667,1.0041666666666664,431,780,702.9822387695312,702.9822387695312,703.4322387695313
43.1875,2.8125,997,997,669.456298828125,669.456298828125,669.906298828125
42.854166666666664,2.0791666666666666,1037,909,608.5687866210938,608.5687866210938,609.0187866210938
45.045833333333334,5.529166666666667,774,1323,1920.2996826171875,1920.2996826171875,1920.7496826171875
46.9125,4.237500000000001,550,1168,555.3335571289062,555.3335571289062,555.7835571289063
47.40416666666667,0.7041666666666666,491,744,2341.27197265625,2341.27197265625,2341.72197265625
45.2625,0.9291666666666663,748,771,86.0,86.0,86.45
42.479166666666664,8.6625,1082,1699,94.98348236083984,94.98348236083984,95.43348236083985
48.395833333333336,2.3708333333333336,372,944,22766.6875,22766.6875,22767.1375
49.05416666666667,1.4291666666666663,293,831,5021.0,5021.0,5021.45
49.3875,0.4708333333333332,253,716,300.9422302246094,300.9422302246094,301.39223022460936
49.52916666666667,4.3125,236,1177,1315.12890625,1315.12890625,1315.57890625
44.40416666666667,3.9625000000000004,851,1135,141.53591918945312,141.53591918945312,141.9859191894531
43.09583333333333,0.604166666666667,1008,732,1717.043212890625,1717.043212890625,1717.493212890625
49.02916666666667,1.5458333333333334,296,845,1009.1015625,1009.1015625,1009.5515625
43.94583333333333,4.5375,906,1204,1507.5045166015625,1507.5045166015625,1507.9545166015625
45.604166666666664,4.104166666666666,707,1152,1168.4266357421875,1168.4266357421875,1168.8766357421875
49.77916666666667,4.9625,206,1255,1149.0592041015625,1149.0592041015625,1149.5092041015625
44.2375,2.0374999999999996,871,904,4.081481456756592,4.081481456756592,4.531481456756592
46.32083333333333,6.379166666666666,621,1425,345.4385070800781,345.4385070800781,345.8885070800781
44.74583333333334,5.454166666666666,810,1314,588.8948364257812,588.8948364257812,589.3448364257813
48.829166666666666,0.6541666666666668,320,738,105.0,105.0,105.45
49.37916666666667,0.5875000000000004,254,730,96.42962646484375,96.42962646484375,96.87962646484375
41.62083333333334,8.987499999999999,1185,1738,8.580870628356934,8.580870628356934,9.030870628356933
48.295833333333334,-1.7208333333333332,384,453,1053.3082275390625,1053.3082275390625,1053.7582275390625
48.4875,-4.245833333333334,361,150,6593.78955078125,6593.78955078125,6594.23955078125
45.05416666666667,5.429166666666667,773,1311,214.59303283691406,214.59303283691406,215.04303283691405
49.49583333333334,3.7375000000000007,240,1108,644.0,644.0,644.45
46.3625,4.9625,616,1255,82.28147888183594,82.28147888183594,82.73147888183594
45.2125,6.137499999999999,754,1396,168.0370330810547,168.0370330810547,168.48703308105468
49.15416666666667,-0.11249999999999982,281,646,2.0622222423553467,2.0622222423553467,2.512222242355347
47.454166666666666,4.529166666666667,485,1203,1074.4266357421875,1074.4266357421875,1074.8766357421875
43.4625,-1.3708333333333336,964,495,118.83267974853516,118.83267974853516,119.28267974853516
