layer,presence_mean,background_mean,difference,standardised,no_tree_difference,no_tree_standardised
ENV bio_1,12.638686180114746,11.606646537780762,1.0320396423339844,0.4195123612880707,1.5450849533081055,0.5966927409172058
landcover_builtup_frac,9.927857398986816,2.804799795150757,7.1230573654174805,0.3763723373413086,16.523944854736328,0.6224713921546936
ENV elevation,340.9603576660156,479.2750244140625,-138.31466674804688,-0.27853822708129883,-194.597412109375,-0.384163498878479
ndvi_seasonal_amplitude,0.2928611636161804,0.3390962779521942,-0.046235114336013794,-0.27209553122520447,-0.05726844072341919,-0.42017999291419983
landcover_bare_frac,0.42171379923820496,1.7456798553466797,-1.3239660263061523,-0.16394342482089996,-2.859192371368408,-0.2480197250843048
ENV bio_12,786.8123168945312,817.718505859375,-30.90618896484375,-0.16278678178787231,-40.4224853515625,-0.23343506455421448
landcover_cropland_frac,37.059112548828125,42.828914642333984,-5.769802093505859,-0.1457366943359375,-9.875862121582031,-0.2500406503677368
landcover_land_frac,99.4937744140625,99.93069458007812,-0.436920166015625,-0.11596623063087463,-0.32318878173828125,-0.12353857606649399
ndvi_peak,0.7277216911315918,0.7355241775512695,-0.007802486419677734,-0.09073983132839203,-0.01566135883331299,-0.18208184838294983
landcover_grass_natural_frac,23.82899284362793,26.044889450073242,-2.2158966064453125,-0.08745834976434708,-3.746702194213867,-0.13237611949443817
ndvi_observed_mean,0.6096212863922119,0.6020463705062866,0.007574915885925293,0.08653173595666885,0.003907442092895508,0.045433104038238525
landcover_shrub_frac,0.6650894284248352,0.372652143239975,0.29243728518486023,0.07873590290546417,0.08054462820291519,0.04448042809963226
landcover_snowice_frac,0.00904721487313509,0.1338806003332138,-0.12483338266611099,-0.058498285710811615,-0.3061240315437317,-0.09272266924381256
landcover_tree_broadleaf_frac,17.871000289916992,16.342527389526367,1.528472900390625,0.057850759476423264,0.02233421429991722,0.07939931005239487
landcover_tree_frac,27.048221588134766,25.331085205078125,1.7171363830566406,0.05685422942042351,0.03559671342372894,0.1098221018910408
landcover_water_frac,1.0399599075317383,0.7380965352058411,0.3018633723258972,0.04563256725668907,0.1477947235107422,0.017569059506058693
soilmoisture_amplitude,0.08775807917118073,0.08669783174991608,0.0010602474212646484,0.042879868298769,0.0004744008183479309,0.01789630576968193
soilmoisture_mean,0.276797890663147,0.27630212903022766,0.0004957616329193115,0.01697477698326111,0.0033495724201202393,0.12251091003417969
landcover_tree_needleleaf_frac,9.177223205566406,8.988558769226074,0.18866443634033203,0.009249451570212841,0.013262508437037468,0.07857193052768707
ndvi_growing_season_mean,0.675778329372406,0.6761000752449036,-0.0003217458724975586,-0.0035188759211450815,-0.0046163201332092285,-0.052115872502326965
