species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Carpinus betulus,2795,192,245084,0.8840700456604613,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus americana,3443,2492,242784,0.7832135912696041,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus pennsylvanica,3524,2326,242950,0.8147674553292003,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus nigra,3122,2101,243175,0.8761751390919159,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus quadrangulata,1660,985,244291,0.9136377977207,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus latifolia,3839,1917,243359,0.9353655288692372,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Fraxinus velutina,2653,1561,243715,0.816938634333497,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus americana,3609,2301,242975,0.7711815092223395,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus rubra,3598,2771,242505,0.8272164226316038,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus alata,3804,2988,242288,0.8925609070083615,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus crassifolia,3911,1613,243663,0.8123914331286024,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus parvifolia,2930,569,244707,0.8583584892532908,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Ulmus pumila,3745,1716,243560,0.8854807054522773,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Celtis occidentalis,3428,2326,242950,0.8288492921770153,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Celtis laevigata,3652,2388,242888,0.8580928548608329,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tilia americana,0,0,0,,0,0,5,,skip_no_records
Tilia cordata,3126,303,244973,0.8859157681558608,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Tilia tomentosa,3136,165,245111,0.8385261005931991,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Platanus occidentalis,3685,2828,242448,0.8156647574549127,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Platanus racemosa,3732,1642,243634,0.9445673332574422,100,2,5,,skip_few_folds
Platanus x acerifolia,0,0,0,,0,0,5,,skip_no_records
Liriodendron tulipifera,3620,2534,242742,0.8131102672341447,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Liquidambar styraciflua,3478,2119,243157,0.8439693404498083,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Nyssa sylvatica,3462,2632,242644,0.8228929733675532,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Nyssa aquatica,977,649,244627,0.9418509312910289,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
