species,n_records,n_unique_cells,n_background_cells,auc,n_epochs,n_folds_usable,n_folds,model_path,status
Quercus ellipsoidalis,2142,1524,243752,0.9435579386838898,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus gambelii,3424,2491,242785,0.9581174313628426,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus agrifolia,0,0,0,,0,0,5,,skip_no_records
Quercus lobata,3769,1918,243358,0.955474886796966,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus douglasii,3724,2074,243202,0.8296165052005717,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus kelloggii,3730,2298,242978,0.9368558560786755,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus chrysolepis,3477,2355,242921,0.9280353244800543,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus wislizeni,3638,2349,242927,0.9107553341376962,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus garryana,3543,2093,243183,0.9038992034945438,100,3,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus laevis,3789,1716,243560,0.945795458177618,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus incana,1250,880,244396,0.9307960064988496,100,4,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus acutissima,3406,742,244534,0.8283058249737085,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Quercus robur,2743,370,244906,0.8254800880367735,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer saccharum,0,0,0,,0,0,5,,skip_no_records
Acer rubrum,3372,2425,242851,0.7621662214843336,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer saccharinum,3550,2285,242991,0.8129691740098528,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
Acer negundo,3545,2601,242675,0.7409615307575385,100,5,5,data/models_deepmaxent_usa_30s/deepmaxent_usa_30s.pt,saved
