latitude,longitude,grid_row,grid_col,plant_records,weight
44.91666666666667,5.583333333333314,270,1113,241538.78125,241539.28125
44.583333333333336,5.916666666666657,272,1115,111474.1328125,111474.6328125
45.583333333333336,4.25,266,1105,78590.640625,78591.140625
42.583333333333336,2.25,284,1093,77098.9765625,77099.4765625
45.25,2.916666666666657,268,1097,81007.8046875,81008.3046875
48.25,2.416666666666657,250,1094,103012.2890625,103012.7890625
43.75,3.25,277,1099,42411.13671875,42411.63671875
48.25,2.25,250,1093,34302.0546875,34302.5546875
49.41666666666667,1.75,243,1090,35320.921875,35321.421875
43.25,5.416666666666657,280,1112,128651.6328125,128652.1328125
46.91666666666667,3.416666666666657,258,1100,52431.90625,52432.40625
43.083333333333336,0.5833333333333144,281,1083,29322.037109375,29322.537109375
43.583333333333336,5.25,278,1111,38554.48046875,38554.98046875
48.75,2.0833333333333144,247,1092,305082.59375,305083.09375
47.083333333333336,5.416666666666657,257,1112,58779.59765625,58780.09765625
48.083333333333336,-3.4166666666666856,251,1059,3462.458251953125,3462.958251953125
46.75,4.75,259,1108,67693.3515625,67693.8515625
45.75,2.5833333333333144,265,1095,30892.23046875,30892.73046875
49.91666666666667,2.25,240,1093,87651.34375,87651.84375
47.75,6.25,253,1117,16641.125,16641.625
50.083333333333336,4.75,239,1108,41589.22265625,41589.72265625
45.25,4.583333333333314,268,1107,44373.40234375,44373.90234375
44.083333333333336,0.5833333333333144,275,1083,13182.8896484375,13183.3896484375
47.25,5.083333333333314,256,1110,50560.97265625,50561.47265625
43.91666666666667,3.0833333333333144,276,1098,108906.3828125,108906.8828125
44.91666666666667,5.083333333333314,270,1110,41071.51171875,41072.01171875
46.25,6.583333333333314,262,1119,82117.09375,82117.59375
49.41666666666667,2.75,243,1096,28768.0625,28768.5625
45.91666666666667,3.416666666666657,264,1100,54073.84765625,54074.34765625
43.91666666666667,5.75,276,1114,102271.5078125,102272.0078125
48.583333333333336,1.9166666666666572,248,1091,153096.234375,153096.734375
46.91666666666667,3.5833333333333144,258,1101,34940.984375,34941.484375
43.41666666666667,4.083333333333314,279,1104,4899.0439453125,4899.5439453125
47.583333333333336,0.4166666666666572,254,1082,33583.69140625,33584.19140625
49.75,1.25,241,1087,20740.42578125,20740.92578125
44.91666666666667,3.416666666666657,270,1100,32722.46875,32722.96875
44.583333333333336,6.083333333333314,272,1116,108781.7109375,108782.2109375
49.41666666666667,3.75,243,1102,35697.18359375,35697.68359375
49.583333333333336,3.0833333333333144,242,1098,44588.5,44589.0
47.75,5.083333333333314,253,1110,83953.71875,83954.21875
47.75,1.4166666666666572,253,1088,35040.7109375,35041.2109375
44.583333333333336,4.916666666666657,272,1109,46393.35546875,46393.85546875
45.25,3.75,268,1102,40479.23046875,40479.73046875
50.25,2.75,238,1096,29262.361328125,29262.861328125
42.583333333333336,3.0833333333333144,284,1098,150584.34375,150584.84375
45.41666666666667,2.75,267,1096,107631.8828125,107632.3828125
48.41666666666667,-1.75,249,1069,27749.07421875,27749.57421875
45.75,5.583333333333314,265,1113,124255.3515625,124255.8515625
49.25,1.9166666666666572,244,1091,23026.98046875,23027.48046875
47.25,4.083333333333314,256,1104,102072.140625,102072.640625
47.41666666666667,0.9166666666666572,255,1085,82662.796875,82663.296875
45.41666666666667,3.25,267,1099,75383.96875,75384.46875
50.75,2.0833333333333144,235,1092,60321.75390625,60322.25390625
45.91666666666667,3.25,264,1099,29576.9765625,29577.4765625
45.91666666666667,3.25,264,1099,29576.9765625,29577.4765625
46.75,4.916666666666657,259,1109,53901.15625,53901.65625
49.583333333333336,1.0833333333333144,242,1086,42605.765625,42606.265625
47.91666666666667,1.25,252,1087,47961.0,47961.5
46.25,3.416666666666657,262,1100,44285.5703125,44286.0703125
45.75,4.916666666666657,265,1109,234788.109375,234788.609375
45.083333333333336,3.5833333333333144,269,1101,73303.0546875,73303.5546875
45.25,5.75,268,1114,239431.296875,239431.796875
46.75,2.75,259,1096,36885.26171875,36885.76171875
45.41666666666667,5.916666666666657,267,1115,219829.34375,219829.84375
44.75,5.583333333333314,271,1113,170408.203125,170408.703125
43.75,5.583333333333314,277,1113,66217.0546875,66217.5546875
48.25,2.416666666666657,250,1094,103012.2890625,103012.7890625
47.75,1.75,253,1090,54871.234375,54871.734375
44.91666666666667,3.75,270,1102,42267.43359375,42267.93359375
47.75,6.25,253,1117,16641.125,16641.625
47.41666666666667,2.5833333333333144,255,1095,44172.96484375,44173.46484375
42.75,0.5833333333333144,283,1083,55187.3125,55187.8125
44.083333333333336,7.083333333333314,275,1122,26574.546875,26575.046875
50.25,1.5833333333333144,238,1089,52539.671875,52540.171875
42.25,8.583333333333314,286,1131,12024.568359375,12025.068359375
48.25,2.0833333333333144,250,1092,41092.42578125,41092.92578125
48.083333333333336,2.5833333333333144,251,1095,27720.58984375,27721.08984375
42.41666666666667,2.25,285,1093,85102.2109375,85102.7109375
47.583333333333336,6.583333333333314,254,1119,51562.48046875,51562.98046875
48.41666666666667,7.75,249,1126,36184.96484375,36185.46484375
48.41666666666667,4.083333333333314,249,1104,33021.33984375,33021.83984375
45.91666666666667,3.0833333333333144,264,1098,79326.046875,79326.546875
44.91666666666667,5.75,270,1114,227064.828125,227065.328125
43.75,5.083333333333314,277,1110,33785.9765625,33786.4765625
44.75,2.25,271,1093,57151.63671875,57152.13671875
48.91666666666667,2.416666666666657,246,1094,340898.3125,340898.8125
48.75,4.916666666666657,247,1109,44993.06640625,44993.56640625
45.583333333333336,3.916666666666657,266,1103,95848.5859375,95849.0859375
47.083333333333336,3.916666666666657,257,1103,33741.52734375,33742.02734375
48.083333333333336,1.0833333333333144,251,1086,30906.92578125,30907.42578125
45.41666666666667,6.083333333333314,267,1116,108364.0234375,108364.5234375
45.75,6.583333333333314,265,1119,87796.21875,87796.71875
43.91666666666667,7.416666666666657,276,1124,60998.125,60998.625
46.91666666666667,-0.4166666666666856,258,1077,9396.37890625,9396.87890625
43.25,2.25,280,1093,57658.7578125,57659.2578125
45.583333333333336,6.083333333333314,266,1116,148132.546875,148133.046875
43.083333333333336,0.4166666666666572,281,1082,40010.16015625,40010.66015625
44.91666666666667,1.75,270,1090,21231.16796875,21231.66796875
44.25,-0.9166666666666856,274,1074,13976.6748046875,13977.1748046875
48.25,-0.08333333333334281,250,1079,61633.82421875,61634.32421875
48.41666666666667,2.5833333333333144,249,1095,136577.625,136578.125
45.41666666666667,5.416666666666657,267,1112,84261.2265625,84261.7265625
43.91666666666667,6.916666666666657,276,1121,43195.66015625,43196.16015625
47.91666666666667,1.75,252,1090,75829.421875,75829.921875
45.25,1.75,268,1090,16084.318359375,16084.818359375
48.25,3.416666666666657,250,1100,45968.22265625,45968.72265625
50.75,3.0833333333333144,235,1098,41497.7265625,41498.2265625
44.25,5.083333333333314,274,1110,46399.265625,46399.765625
44.25,3.416666666666657,274,1100,28975.076171875,28975.576171875
47.41666666666667,5.25,255,1111,34474.65625,34475.15625
42.583333333333336,3.0833333333333144,284,1098,150584.34375,150584.84375
45.083333333333336,6.083333333333314,269,1116,190084.328125,190084.828125
47.41666666666667,4.416666666666657,255,1106,49265.79296875,49266.29296875
47.75,1.9166666666666572,253,1091,36623.453125,36623.953125
