stratum,feature_set,auc,tss,boyce,species_folds
all,env,0.742315423545958,0.3396077593215899,0.9206645192832342,339
all,env_availability,0.7539149203252127,0.3644498705205444,0.932623950479069,339
all,env_availability_no_builtup,0.7489775490563488,0.3596252082862916,0.9262754834149737,339
all,env_builtup,0.7502057148271443,0.36047655967879216,0.92909232266127,339
all,env_circular,0.7497343194409407,0.3579056677278529,0.9371540082065115,339
all,env_cropland,0.7445906267461314,0.3478171833172481,0.9222559648887863,339
all,env_satellite,0.7544833849198779,0.3704615432230191,0.9372821200654184,339
all,env_soilmoisture,0.7427184424989328,0.3428227788171956,0.9150808064437216,339
all,satellite,0.7061625607048734,0.30614816234875586,0.895031634413983,339
cropland,env,0.6831692775706556,0.22581318640987033,0.674550025115398,336
cropland,env_availability,0.6966311571115942,0.23955543592903422,0.7223411373780115,336
cropland,env_availability_no_builtup,0.689191863965429,0.2348002737921236,0.6876247211765502,336
cropland,env_builtup,0.6944734582951092,0.23597562680298567,0.7251434259278056,336
cropland,env_circular,0.6881698575136453,0.2351051679633397,0.7077784446043148,336
cropland,env_cropland,0.6858418501691496,0.22367855699030187,0.6725246559252328,336
cropland,env_satellite,0.6946183591763265,0.24135421378109276,0.725472228689321,336
cropland,env_soilmoisture,0.6828258174930896,0.23087841148239316,0.6780111101426792,336
cropland,satellite,0.6398592450399675,0.1843005597137039,0.6474565635854534,336
high_tree,env,0.7305045879930687,0.29959534481561234,0.7546522817278274,337
high_tree,env_availability,0.7332989729616396,0.30525668247112375,0.7447567787719535,337
high_tree,env_availability_no_builtup,0.7309270257058236,0.3121251350724674,0.749112309366893,337
high_tree,env_builtup,0.729575223385166,0.30263742991971054,0.7423293544877911,337
high_tree,env_circular,0.7395872847913767,0.3212844588219678,0.7589386651963922,337
high_tree,env_cropland,0.7311244283960225,0.30795654035034115,0.7415430322670413,337
high_tree,env_satellite,0.7343289296176106,0.3142490054000973,0.7526488685626793,337
high_tree,env_soilmoisture,0.7313727864154597,0.30327870659095735,0.7401179923299285,337
high_tree,satellite,0.6722504202659654,0.20999433852548502,0.6075775417441065,337
low_tree,env,0.7238442181640405,0.2974262591233138,0.7974563182887385,339
low_tree,env_availability,0.7403666343443563,0.3264436698258781,0.8276027783674462,339
low_tree,env_availability_no_builtup,0.7329368872404609,0.31640267893343804,0.814747156097024,339
low_tree,env_builtup,0.7384050620836127,0.32982553452397206,0.8288962461126995,339
low_tree,env_circular,0.728473314416217,0.3024097098839273,0.8182137164955716,339
low_tree,env_cropland,0.7270260553310807,0.3075924151996763,0.8136564693647808,339
low_tree,env_satellite,0.737872104791382,0.32661740888030594,0.8256597396296692,339
low_tree,env_soilmoisture,0.7222005111877413,0.29981009181989243,0.79196153790314,339
low_tree,satellite,0.6873247223126662,0.2559281933313118,0.7320131717024619,339
no_tree,env,0.7192792030482451,0.28651522916403066,0.737661876061219,336
no_tree,env_availability,0.736263322024933,0.3194729180575932,0.7822015781457983,336
no_tree,env_availability_no_builtup,0.7297254984444811,0.30688355188192407,0.7748633986708398,336
no_tree,env_builtup,0.7352937883808464,0.32478592112971083,0.7846488977828078,336
no_tree,env_circular,0.7230320618193014,0.28990632668084215,0.7581440457319873,336
no_tree,env_cropland,0.722544668950498,0.2984870006055339,0.7723576821288306,336
no_tree,env_satellite,0.7340968926354997,0.3169273936014991,0.7735580244496212,336
no_tree,env_soilmoisture,0.7173381500563977,0.288303734383961,0.739815652864877,336
no_tree,satellite,0.682934812098558,0.24875371910072575,0.7012338593964331,336
